date,unidadmedida,amazonas,antioquia,arauca,atlantico,bogota,bolivar,boyaca,caldas,caqueta,casanare,cauca,cesar,choco,cordoba,cundinamarca,guainia,guaviare,huila,la guajira,magdalena,meta,narino,norte de santander,putumayo,quindio,risaralda,san andres providencia,santander,sucre,tolima,valle del cauca,vaupes,vichada
2021-01-01,mm,49.11,227.376,7.8,11.23,0.11,10.5,57.699999999999996,28.3,0.0,2.9000000000000004,42.0,0.0,1120.4,46.5,546.5790000000001,8.0,5.676525821596243,62.39999999999999,1.69,23.27,0.0,102.591,12.4,13.992164674634795,0.1,2.3,0.3,19.2,3.4,107.1,18.2,0.7,7.151162790697675
2021-01-02,mm,23.12,247.065,33.3,7.22,5.86,9.1,740.1999999999999,264.4,16.6,13.600000000000001,54.7,0.0,1023.0999999999999,117.7,1688.3229999999999,0.2,5.676525821596243,13.600000000000001,0.6,22.54,31.09,281.993,7.57,13.992164674634795,18.3,22.026,9.8,71.22,4.0,43.3,13.713,3.7,7.151162790697675
2021-01-03,mm,0.22,346.49199999999996,37.1,8.02,0.0,5.39,233.6,95.1,4.4,6.2,126.9,0.0,1050.5,134.8,124.707,0.0,5.676525821596243,22.8,0.7,24.549999999999997,0.0,152.391,28.53,13.992164674634795,42.300000000000004,68.30799999999999,6.4,9.46,3.5,37.3,141.05599999999998,0.2,7.151162790697675
2021-01-04,mm,0.01,78.964,1.7,8.24,0.0,0.0,23.200000000000003,53.8,0.0,0.3,86.9,0.0,415.70000000000005,11.2,70.6,0.0,5.676525821596243,11.899999999999999,0.1,6.199999999999999,0.0,5.91,25.77,13.992164674634795,41.7,29.418,1.0,14.71,0.6,21.4,41.300000000000004,0.0,7.151162790697675
2021-01-09,mm,6.81,306.81,72.2,10.99,1.67,2.05,369.40000000000003,18.9,0.3,8.899999999999999,23.099999999999998,0.0,1059.0,142.1,1629.911,1.4,5.676525821596243,14.600000000000001,0.81,16.34,15.68,260.488,1.9,0.6,0.5,74.138,0.9,90.44,7.0,9.4,68.349,0.0,7.151162790697675
2021-01-10,mm,2.9,305.714,106.3,14.82,0.86,0.0,277.2,79.8,10.9,1.6,23.5,0.0,1033.6999999999998,168.5,1710.42,7.8,5.676525821596243,103.3,0.6,9.11,27.34,123.419,7.9,32.0,6.8,61.467,30.5,81.28,7.5,98.5,43.612,1.9,7.151162790697675
2021-01-11,mm,0.41000000000000003,342.005,143.5,10.18,0.24000000000000002,0.0,276.6,189.6,28.200000000000003,5.6,51.5,0.0,1094.1,148.6,1702.0510000000002,0.2,5.676525821596243,86.7,0.5,12.27,8.05,137.218,23.5,56.4,20.2,123.279,5.0,109.39,9.7,143.2,288.565,0.3,7.151162790697675
2021-01-12,mm,23.4,248.041,42.2,12.85,0.0,0.8899999999999999,63.0,22.5,1.2999999999999998,0.6,36.3,0.0,1067.5,53.699999999999996,141.3,0.1,5.676525821596243,7.6,0.1,14.16,0.2,3.9299999999999997,0.1,7.6,3.0,52.249,0.0,11.78,6.7,1.7,18.543,0.4,7.151162790697675
2021-01-13,mm,10.629999999999999,224.577,29.0,12.3,0.0,0.2,52.0,3.1,0.0,2.9,51.0,0.0,1122.3999999999999,41.6,454.20000000000005,0.0,5.676525821596243,1.6,0.1,12.81,0.0,80.631,0.0,5.6000000000000005,0.1,0.087,0.4,2.57,3.8,17.5,16.814,0.8,7.151162790697675
2021-01-14,mm,0.02,251.58700000000002,21.4,14.43,0.0,0.0,63.3,37.0,0.0,2.1,40.7,0.0,1050.8,10.8,118.60000000000001,1.2,5.676525821596243,9.6,0.1,12.38,0.0,64.95,0.0,0.2,0.0,4.41,3.9,13.93,5.1000000000000005,12.399999999999999,28.192,0.1,7.151162790697675
2021-01-15,mm,16.919999999999998,236.72899999999998,16.9,16.96,0.0,0.95,12.299999999999999,45.800000000000004,0.0,1.1,31.5,0.0,1009.6999999999999,0.5,50.7,0.1,5.676525821596243,18.5,0.1,13.36,0.0,15.747000000000002,0.0,0.0,18.7,7.4,0.0,2.02,8.3,41.9,37.007999999999996,0.0,7.151162790697675
2021-01-16,mm,2.42,214.047,79.4,10.79,0.0,0.2,200.4,46.4,0.0,1.7000000000000002,80.1,0.0,1009.1,74.89999999999999,1086.6999999999998,0.6,5.676525821596243,33.8,0.1,13.31,0.31,179.846,7.6,0.0,1.4,11.526,0.2,5.21,11.2,6.999999999999999,19.4,0.0,7.151162790697675
2021-01-17,mm,30.89,237.172,102.2,9.68,0.0,0.0,290.2,12.5,0.0,1.0,27.7,0.0,1032.6,128.2,50.4,1.6,5.676525821596243,43.1,0.1,11.139999999999999,0.3,109.862,0.0,0.0,0.0,10.620000000000001,6.6,8.07,8.4,26.299999999999997,13.799999999999999,0.2,7.151162790697675
2021-01-18,mm,48.480000000000004,286.024,18.7,15.58,0.06,1.0,28.9,6.5,0.0,2.3,41.300000000000004,0.0,1016.6,10.9,50.8,0.0,5.676525821596243,20.8,0.1,12.29,0.0,49.6,0.1,6.4,1.1,7.398,0.0,2.85,8.899999999999999,21.9,61.9,0.2,7.151162790697675
2021-01-19,mm,203.37,207.482,14.9,13.91,0.08,0.2,41.6,0.2,0.0,1.4,20.6,0.0,962.8000000000001,0.0,40.5,0.0,5.676525821596243,10.4,0.2,10.78,0.0,79.339,0.0,8.6,0.1,0.5,0.2,1.1300000000000001,8.6,12.4,63.699999999999996,0.3,7.151162790697675
2021-01-20,mm,0.11,233.548,17.0,11.71,0.1,1.26,41.3,0.0,0.0,3.0,80.6,0.0,1010.5,41.8,320.0,0.0,5.676525821596243,1.6,0.2,8.54,0.0,46.374,0.0,18.599999999999998,0.0,1.5,7.8,0.16,5.699999999999999,0.1,29.599999999999998,0.0,7.151162790697675
2021-01-21,mm,3.75,234.971,23.8,8.24,0.0,4.55,61.4,0.0,1.1,1.4,96.9,0.0,1028.1,32.400000000000006,50.504999999999995,20.3,5.676525821596243,0.4,0.1,15.41,0.0,113.747,0.09,6.2,2.0,0.7,0.0,0.98,8.1,0.0,78.9,0.0,7.151162790697675
2021-01-22,mm,36.82,228.267,13.9,11.889999999999999,0.15000000000000002,2.5500000000000003,21.1,205.5,79.4,4.4,33.5,0.0,1063.1,0.0,102.78999999999999,18.3,5.676525821596243,38.3,0.0,15.84,20.4,46.199999999999996,9.91,147.2,3.1,21.541,0.0,13.47,6.7,101.1,100.825,4.3,7.151162790697675
2021-01-23,mm,26.6,246.793,15.8,3.84,6.24,1.43,40.55,316.8,18.9,1.3,4.0,0.0,1014.4,0.5,122.399,1.2,5.676525821596243,29.000000000000004,0.2,11.399999999999999,8.7,23.942999999999998,0.0,7.2,0.7,55.134,0.0,36.71,5.8,67.10000000000001,48.938,0.2,7.151162790697675
2021-01-24,mm,0.0,288.915,20.200000000000003,9.14,0.18,4.24,15.100000000000001,23.7,0.6000000000000001,1.6,12.9,0.0,950.3000000000001,11.5,73.289,0.5,5.676525821596243,7.8,0.1,14.55,20.939999999999998,45.873000000000005,6.2,7.0,0.0,1.304,0.0,12.13,8.9,25.9,89.50800000000001,2.7,7.151162790697675
2021-01-25,mm,2.1,248.095,14.8,13.2,2.61,0.0,38.6,4.499999999999999,32.4,3.0,59.300000000000004,0.0,1050.0,2.5,69.50699999999999,0.0,5.676525821596243,32.7,0.0,13.09,2.58,48.641,9.360000000000001,28.0,0.1,1.9,0.0,4.4399999999999995,6.7,53.9,42.1,0.7,7.151162790697675
2021-01-26,mm,26.86,216.719,17.3,10.23,0.1,3.1,9.100000000000001,0.0,4.6,1.9000000000000001,26.6,0.0,996.0999999999999,0.1,78.65,0.0,5.676525821596243,29.6,0.0,21.53,0.8,24.442,0.0,2.6,0.0,2.8000000000000003,0.0,0.11,7.3,17.2,89.64699999999999,0.9,7.151162790697675
